,BATHRM,HF_BATHRM,BATHROOMS,AC1IsYes,NUM_UNITS,ROOMS,BEDRM,EYB,STORIES,YearSold,Month,Winter,Spring,Summer,PRICE,logPrice,GrossBuildingArea,RowInside,RowEnd,Multi,SemiDetached,Single,TownEnd,TownInside,GradeLowerBetter,CNDTN,EXTWALL,ROOF,INTWALL,KITCHENS,FIREPLACES,USECODE,LANDAREA,Residential_0/Condo_1,ASSESSMENT_NBHD,CongressHeights,Deanwood,RandleHeights,FortDupontPark,MichiganPark,MarshallHeights,ColumbiaHeights,Brookland,Trinidad,Hillcrest,Burleith,Anacostia,LilyPonds,BarryFarms,Petworth,Woodridge,OldCity1,Brentwood,Eckington,MtPleasant,FortLincoln,RiggsPark,StreetHeights16th,OldCity2,TakomaPark,Brightwood,Chillum,CapitolHill,LedroitPark,ChevyChase,ShepherdHeights,Georgetown,AmericanUniversity,FoggyBottom,Kent,WesleyHeights,Palisades,GloverPark,Crestwood,ClevelandPark,ColonialVillage,SouthwestWaterfront,Foxhall,NorthClevelandPark,Hawthorne,SpringValley,Wakefield,Centraltri1,Berkley,Garfield,ForestHills,ObservatoryCircle,Kalorama,Woodley,MassachusettsAvenueHeights,ASSESSMENT_SUBNBHD,CENSUS_TRACT,CENSUS_BLOCK,Ward,Ward2,Ward3,Ward4,Ward5,Ward6,Ward7,SQUARE,X,Y,QUADRANT,NW,NE,SW
105692,3,1,3.5,1,1,8,3,2018,2,2018,1,1,0,0,51000,4.708,1476,1,0,0,0,0,0,0,2,Very Good,Face Brick,Comp Shingle,Hardwood,1,0,11,1232,0,Congress Heights,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,016 B Congress Heights,7304,007304 3005,8,0,0,0,0,0,0,5933,-76.99075347,38.84032845,SE,0,0,0
105499,2,0,2,0,1,6,2,1947,2,2018,5,0,1,0,80000,4.903,1224,0,0,0,1,0,0,0,3,Average,Common Brick,Built Up,Hardwood,1,0,13,2500,0,Congress Heights,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,016 C Congress Heights,9801,009801 1014,8,0,0,0,0,0,0,6153,-77.00139821,38.83172052,SE,0,0,0
85758,2,0,2,0,2,10,4,1955,2,2018,3,0,1,0,83500,4.922,1900,0,0,1,0,0,0,0,3,Average,Common Brick,Built Up,Wood Floor,2,0,23,2862,0,Deanwood,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,018 A Deanwood,7803,007803 3009,7,0,0,0,0,0,1,5138,-76.93605968,38.89095564,NE,0,1,0
87741,1,0,1,0,1,5,2,1945,2,2018,3,0,1,0,90000,4.954,810,0,0,0,1,0,0,0,3,Average,Brick/Siding,Comp Shingle,Hardwood,1,0,13,2420,0,Deanwood,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,018 B Deanwood,7809,007809 1001,7,0,0,0,0,0,1,5176,-76.92872104,38.90267575,NE,0,1,0
102505,1,0,1,0,1,4,2,1953,2,2018,5,0,1,0,90000,4.954,768,0,0,0,1,0,0,0,3,Average,Common Brick,Shake,Hardwood,1,1,13,1340,0,Randle Heights,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,043 B Randle Heights,7407,007407 1009,8,0,0,0,0,0,0,5877,-76.98500415,38.85494944,SE,0,0,0
90764,1,0,1,0,1,4,1,1947,1,2018,7,0,0,1,95000,4.978,906,0,1,0,0,0,0,0,2,Average,Common Brick,Comp Shingle,Hardwood,1,1,12,5294,0,Fort Dupont Park,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,022 C Fort Dupont Park,7707,007707 2015,7,0,0,0,0,0,1,5361,-76.93628671,38.87759809,SE,0,0,0
79033,1,1,1.5,1,1,6,3,1954,2,2018,5,0,1,0,100857,5.004,1328,0,1,0,0,0,0,0,2,Average,Common Brick,Comp Shingle,Hardwood,1,1,12,2581,0,Michigan Park,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9400,009400 4015,5,0,0,0,1,0,0,4199,-76.97670829,38.9368476,NE,0,1,0
92326,1,0,1,1,1,4,2,1956,2,2018,3,0,1,0,118750,5.075,900,0,1,0,0,0,0,0,3,Average,Common Brick,Built Up,Hardwood,1,0,11,2292,0,Marshall Heights,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,033 A Marshall Heights,9905,009905 1003,7,0,0,0,0,0,1,5306,-76.92513974,38.88689131,SE,0,0,0
48335,4,1,4.5,1,1,6,4,1984,2,2018,6,0,0,1,120000,5.079,1576,0,0,0,1,0,0,0,2,Good,Common Brick,Metal- Sms,Wood Floor,1,0,13,1375,0,Columbia Heights,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,015 E Columbia Heights,3500,003500 1002,1,0,0,0,0,0,0,2886,-77.02431052,38.92625188,NW,1,0,0
84992,1,0,1,0,1,5,2,1954,1,2018,4,0,1,0,120000,5.079,994,0,1,0,0,0,0,0,3,Average,Shingle,Comp Shingle,Wood Floor,1,0,12,5062,0,Deanwood,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,018 E Deanwood,7803,007803 3001,7,0,0,0,0,0,1,5134,-76.93622911,38.89391472,NE,0,1,0
